Value,Value Label,Frequency,Percentage,Weighted Percentage
1,Alabama,"4,362",1.01,1.58
2,Alaska,"5,525",1.28,0.22
4,Arizona,"12,036",2.78,2.31
5,Arkansas,"5,351",1.23,0.94
6,California,"11,976",2.76,12.18
8,Colorado,"8,783",2.03,1.85
9,Connecticut,"9,501",2.19,1.16
10,Delaware,"4,282",0.99,0.33
11,District of Columbia,"3,207",0.74,0.22
12,Florida,"13,255",3.06,7.29
13,Georgia,"8,227",1.9,3.4
15,Hawaii,"7,832",1.81,0.46
16,Idaho,"6,895",1.59,0.59
17,Illinois,"5,279",1.22,3.9
18,Indiana,"10,993",2.54,2.09
19,Iowa,"8,876",2.05,0.98
20,Kansas,"9,884",2.28,0.89
22,Louisiana,"5,388",1.24,1.4
23,Maine,"12,255",2.83,0.45
24,Maryland,"17,255",3.98,1.92
25,Massachusetts,"9,528",2.2,2.25
26,Michigan,"9,978",2.3,3.14
27,Minnesota,"16,170",3.73,1.76
28,Mississippi,"4,069",0.94,0.9
29,Missouri,"7,219",1.67,1.91
30,Montana,"7,143",1.65,0.36
31,Nebraska,"12,886",2.97,0.59
32,Nevada,"2,650",0.61,1
33,New Hampshire,"6,960",1.61,0.46
34,New Jersey,"9,328",2.15,2.91
35,New Mexico,"3,220",0.74,0.66
36,New York,"17,349",4,6.22
37,North Carolina,"4,088",0.94,3.38
38,North Dakota,"5,745",1.33,0.24
39,Ohio,"13,384",3.09,3.65
40,Oklahoma,"6,727",1.55,1.23
41,Oregon,"6,234",1.44,1.35
44,Rhode Island,"5,781",1.33,0.35
45,South Carolina,"10,038",2.32,1.68
46,South Dakota,"5,886",1.36,0.28
47,Tennessee,"5,645",1.3,2.21
48,Texas,"10,059",2.32,9.21
49,Utah,"11,154",2.57,0.98
50,Vermont,"7,636",1.76,0.21
51,Virginia,"6,981",1.61,2.73
53,Washington,"26,444",6.1,2.45
54,West Virginia,"4,339",1,0.56
55,Wisconsin,"12,819",2.96,1.84
56,Wyoming,"4,484",1.03,0.18
66,Guam,"1,559",0.36,0.04
72,Puerto Rico,"4,594",1.06,1.06
78,Virgin Islands,"2,064",0.48,0.03
