,c_inverse,max_inter,solver,penalty,accuracy
0,0.01,100,lbfgs,l2,0.7264050249107394
1,0.01,100,liblinear,l2,0.7252491518752919
2,0.01,100,liblinear,l1,0.7264400481128056
3,0.01,100,saga,l2,0.726054749943172
4,0.01,100,saga,l1,0.7261248147531212
5,0.01,300,lbfgs,l2,0.7264050249107394
6,0.01,300,liblinear,l2,0.7252491518752919
7,0.01,300,liblinear,l1,0.7264400481128056
8,0.01,300,saga,l2,0.7262999338310879
9,0.01,300,saga,l1,0.7262649290348389
10,0.01,500,lbfgs,l2,0.7264050249107394
11,0.01,500,liblinear,l2,0.7252491518752919
12,0.01,500,liblinear,l1,0.7264400481128056
13,0.01,500,saga,l2,0.726317446965939
14,0.01,500,saga,l1,0.7262649290348389
15,0.01,700,lbfgs,l2,0.7264050249107394
16,0.01,700,liblinear,l2,0.7252491518752919
17,0.01,700,liblinear,l1,0.7264400481128056
18,0.01,700,saga,l2,0.726317446965939
19,0.01,700,saga,l1,0.7262474158999878
20,0.01,900,lbfgs,l2,0.7264050249107394
21,0.01,900,liblinear,l2,0.7252491518752919
22,0.01,900,liblinear,l1,0.7264225349779545
23,0.01,900,saga,l2,0.726317446965939
24,0.01,900,saga,l1,0.7262649290348389
25,0.1,100,lbfgs,l2,0.7258796185946607
26,0.1,100,liblinear,l2,0.7260022074709823
27,0.1,100,liblinear,l1,0.7258971317295118
28,0.1,100,saga,l2,0.7259671873365525
29,0.1,100,saga,l1,0.725932154931578
30,0.1,300,lbfgs,l2,0.7258796185946607
31,0.1,300,liblinear,l2,0.7260022074709823
32,0.1,300,liblinear,l1,0.7258621054598094
33,0.1,300,saga,l2,0.7257920498527689
34,0.1,300,saga,l1,0.7257920529204049
35,0.1,500,lbfgs,l2,0.7258796185946607
36,0.1,500,liblinear,l2,0.7260022074709823
37,0.1,500,liblinear,l1,0.7258971317295118
38,0.1,500,saga,l2,0.7257920498527689
39,0.1,500,saga,l1,0.7257920529204049
40,0.1,700,lbfgs,l2,0.7258796185946607
41,0.1,700,liblinear,l2,0.7260022074709823
42,0.1,700,liblinear,l1,0.7258796185946607
43,0.1,700,saga,l2,0.7257920498527689
44,0.1,700,saga,l1,0.7257745367179178
45,0.1,900,lbfgs,l2,0.7258796185946607
46,0.1,900,liblinear,l2,0.7260022074709823
47,0.1,900,liblinear,l1,0.7258971317295118
48,0.1,900,saga,l2,0.7257920498527689
49,0.1,900,saga,l1,0.7257920529204049
50,1.0,100,lbfgs,l2,0.7258270791901072
51,1.0,100,liblinear,l2,0.72580956298762
52,1.0,100,liblinear,l1,0.7257920529204049
53,1.0,100,saga,l2,0.7259846974037675
54,1.0,100,saga,l1,0.7260022105386186
55,1.0,300,lbfgs,l2,0.7258270791901072
56,1.0,300,liblinear,l2,0.72580956298762
57,1.0,300,liblinear,l1,0.7257920529204049
58,1.0,300,saga,l2,0.7258270761224711
59,1.0,300,saga,l1,0.72580956298762
60,1.0,500,lbfgs,l2,0.7258270791901072
61,1.0,500,liblinear,l2,0.72580956298762
62,1.0,500,liblinear,l1,0.7257920529204049
63,1.0,500,saga,l2,0.7257920498527689
64,1.0,500,saga,l1,0.72580956298762
65,1.0,700,lbfgs,l2,0.7258270791901072
66,1.0,700,liblinear,l2,0.72580956298762
67,1.0,700,liblinear,l1,0.7257920529204049
68,1.0,700,saga,l2,0.72580956298762
69,1.0,700,saga,l1,0.72580956298762
70,1.0,900,lbfgs,l2,0.7258270791901072
71,1.0,900,liblinear,l2,0.72580956298762
72,1.0,900,liblinear,l1,0.7257745367179178
73,1.0,900,saga,l2,0.72580956298762
74,1.0,900,saga,l1,0.72580956298762
75,10.0,100,lbfgs,l2,0.7258095660552562
76,10.0,100,liblinear,l2,0.7258095660552562
77,10.0,100,liblinear,l1,0.7257745397855538
78,10.0,100,saga,l2,0.7259846974037675
79,10.0,100,saga,l1,0.7260197236734698
80,10.0,300,lbfgs,l2,0.7258095660552562
